,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,RegionNum,DistrictNum,GardenNum,RoomNum,HallNum,DirectionNum,RenovationNum,PriceNum,YearNum,SizeNum,FloorNum
131,门头沟,门头沟其它,檀香府,4,1,5,2016,236,南北,毛坯,1300.0,14,204,1743,3,1,22,1,1300.0,2016,236,5
132,门头沟,大峪,黑山大街15号,2,1,6,1996,88,东西,精装,268.0,14,78,3055,1,1,13,3,268.0,1996,88,6
133,门头沟,滨河西区,德露苑,2,1,7,1999,93,南北,简装,310.0,14,143,1341,1,1,22,2,310.0,1999,93,7
134,门头沟,大峪,新桥路小区,2,1,6,1992,63,南北,简装,239.0,14,78,1481,1,1,22,2,239.0,1992,63,6
135,门头沟,大峪,西山环路6号院,3,1,9,2015,140,南北,精装,730.0,14,78,2531,2,1,22,3,730.0,2015,140,9
136,门头沟,门头沟其它,中门花园良实家园,2,1,6,2003,89,南北,其他,320.0,14,204,267,1,1,22,0,320.0,2003,89,6
137,门头沟,冯村,润景公馆,2,1,20,2011,103,西南,简装,505.0,14,36,1888,1,1,34,2,505.0,2011,103,20
138,门头沟,冯村,丽景长安,2,1,23,2012,93,南北,精装,445.0,14,36,286,1,1,22,3,445.0,2012,93,23
139,门头沟,大峪,大峪南路,2,1,6,1980,69,南北,简装,229.0,14,78,967,1,1,22,2,229.0,1980,69,6
140,门头沟,门头沟其它,惠泽家园,1,1,6,2010,65,南北,精装,215.0,14,204,1378,0,1,22,3,215.0,2010,65,6
141,门头沟,大峪,华远裘马四季,4,2,24,2017,165,南北,精装,1090.0,14,78,689,3,2,22,3,1090.0,2017,165,24
142,门头沟,城子,新桥大街52号院,2,1,6,1988,60,南北,其他,246.0,14,74,1479,1,1,22,0,246.0,1988,60,6
143,门头沟,城子,阁外山水,2,1,7,2004,99,东西,精装,350.0,14,74,2845,1,1,13,3,350.0,2004,99,7
144,门头沟,门头沟其它,军庄杨坨小区,2,1,6,1986,55,南北,简装,170.0,14,204,511,1,1,22,2,170.0,1986,55,6
145,门头沟,冯村,丽景长安,2,1,26,2012,91,南北,精装,420.0,14,36,286,1,1,22,3,420.0,2012,91,26
146,门头沟,城子,城子西七棵树90号院,2,1,6,2007,90,东,精装,317.0,14,74,933,1,1,0,3,317.0,2007,90,6
147,门头沟,滨河西区,皓月园,1,1,14,2006,58,西北,其他,240.0,14,143,2108,0,1,32,0,240.0,2006,58,14
