Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
南北,滨河西区,,6,葡东小区,101102690181,2室1厅,261.0,门头沟,精装,68.0,1997
南北,大峪,,6,永新小区,101102735095,2室1厅,245.0,门头沟,其他,57.0,1993
南北,大峪,,6,惠民家园,101102284298,2室1厅,295.0,门头沟,简装,79.0,2009
南北,滨河西区,,5,双峪路小区,101102587554,2室1厅,210.0,门头沟,简装,57.0,1981
东北,滨河西区,,16,霁月园,101102614604,3室1厅,385.0,门头沟,简装,89.0,2006
南,门头沟其它,,27,梧桐苑栖凤园,101102666935,2室1厅,378.0,门头沟,精装,85.0,2013
南北,城子,,6,绿岛家园,101101945296,2室1厅,376.5,门头沟,精装,91.0,2003
南北,大峪,,6,永新小区,101102719907,2室1厅,236.0,门头沟,简装,62.0,1995
北,城子,,12,阁外山水,101102735318,1室0厅,203.0,门头沟,简装,48.0,2004
南,滨河西区,,6,葡东小区,101102576914,2室1厅,302.0,门头沟,精装,77.0,2001
南,冯村,,26,丽景长安,101102689999,2室1厅,410.0,门头沟,其他,88.0,2012
南北,冯村,,6,冯村信园小区,101102527088,3室1厅,350.0,门头沟,简装,100.0,1997
南,滨河西区,,16,霁月园,101102630912,2室1厅,366.0,门头沟,精装,90.0,2006
南北,门头沟其它,,6,惠泽家园,101102710093,2室1厅,248.0,门头沟,精装,70.0,2010
南北,滨河西区,,6,承泽苑,101102702800,3室1厅,400.0,门头沟,简装,98.0,2001
南,门头沟其它,,28,梧桐苑清露园,101102640298,2室1厅,340.0,门头沟,简装,85.0,2013
西南,滨河西区,,6,霁月园,101102731961,2室1厅,365.0,门头沟,简装,87.0,2006
南西,滨河西区,,6,绮霞苑,101102484917,2室1厅,275.0,门头沟,精装,65.0,2003
南北,滨河西区,,6,德露苑,101102720391,3室1厅,365.0,门头沟,其他,97.0,1999
南北,大峪,,6,大峪南路,101102488858,2室1厅,195.0,门头沟,简装,55.0,1981
南北,大峪,,21,惠民家园,101102731073,2室1厅,249.0,门头沟,简装,63.0,2012
东西,滨河西区,,6,皓月园,101101432958,2室1厅,319.0,门头沟,精装,88.0,2005
南北,大峪,,6,桃园小区,101102614556,2室1厅,262.0,门头沟,简装,75.0,1998
南北,滨河西区,,6,月季园东里,101102730588,2室1厅,255.0,门头沟,简装,62.0,1993
南北,滨河西区,,6,含晖苑,101102562417,2室1厅,365.0,门头沟,精装,90.0,2004
南北,大峪,,6,峪园小区,101102237116,2室1厅,245.0,门头沟,其他,63.0,1985
南,大峪,,11,惠民家园,101102670957,1室1厅,213.0,门头沟,简装,50.0,2010
南北,城子,,6,绿岛家园,101102735912,2室1厅,395.0,门头沟,简装,96.0,2006
东,良乡,,18,首开熙悦睿府书香,101101896860,2房间1卫,97.0,房山,简装,50.0,2014
南北,城关,,18,中国铁建原香漫谷,101102464474,3室1厅,255.0,房山,毛坯,87.0,2013
东南,长阳,,11,半岛金街,101102261767,3房间1卫,218.0,房山,精装,81.0,2016
东,长阳,,8,怡和南路11号院,101102163637,1房间1卫,135.0,房山,精装,44.0,2016
南北,城关,,12,中冶蓝城,101102599618,3室1厅,288.0,房山,精装,90.0,2014
南北,城关,,18,中国铁建原香漫谷,101102522071,3室2厅,320.0,房山,毛坯,129.0,2015
南西北,城关,,16,中冶蓝城,101102524076,3室1厅,275.0,房山,精装,97.0,2015
南,城关,,20,中国铁建原香漫谷,101102580646,2室1厅,230.0,房山,简装,82.0,2013
东,良乡,,18,首开熙悦睿府书香,101102188280,2房间1卫,120.0,房山,简装,50.0,2014
南,长阳,,8,五和万科长阳天地,101102590968,2房间1卫,153.0,房山,精装,51.0,2017
南北,城关,,15,中冶蓝城,101102538244,3室1厅,275.0,房山,毛坯,97.0,2014
东,长阳,,8,怡和南路11号院,101102172906,1房间0卫,120.0,房山,精装,42.0,2016
南,长阳,,6,怡和南路13号院,101101934391,1房间1卫,125.0,房山,精装,46.0,2016
南,良乡,,15,首开熙悦睿府书香,101101906604,1房间1卫,110.0,房山,精装,47.0,2014
南,良乡,,15,首开熙悦睿府书香,101101900942,2房间1卫,108.0,房山,简装,48.0,2014
南北,韩村河,,6,韩村河西小区,101102475537,3室1厅,200.0,房山,其他,108.0,2002
南,长阳,,8,合景领峰,101102457312,2房间1卫,125.0,房山,精装,46.0,2015
南北,长阳,,4,长阳半岛怡和路6号院,101102364233,3室2厅,695.0,房山,其他,139.0,2015
南,良乡,,14,旭辉E天地,101101884623,1房间1卫,110.0,房山,毛坯,38.0,2015
东南,长阳,,8,合景领峰,101102364603,5房间2卫,280.0,房山,精装,101.0,2016
南北,城关,,16,中冶蓝城,101102637716,3室1厅,290.0,房山,其他,105.0,2014
南北,韩村河,,6,大自然新城雅苑,101102593139,2室1厅,205.0,房山,精装,90.0,2011
南北,良乡,,13,首创伊林郡,101102710115,3室2厅,500.0,房山,简装,128.0,2015
南北,城关,,16,中冶蓝城,101102712672,3室2厅,240.0,房山,简装,89.0,2014
南北,长阳,,3,长阳半岛祥云墅,101102621870,5房间2卫,980.0,房山,毛坯,205.0,2014
南,长阳,,6,长景新园,101101808956,1室0厅,228.0,房山,精装,54.0,2011
南北,城关,,16,中冶蓝城,101102668797,2室1厅,280.0,房山,精装,86.0,2015
北,良乡,,13,旭辉E天地,101102671690,4房间1卫,108.0,房山,精装,36.0,2015
北,良乡,,15,首开熙悦睿府书香,101102645055,1房间1卫,105.0,房山,精装,47.0,2014
西北,良乡,,15,辰光嘉园,101102422969,5室2厅,663.0,房山,精装,195.0,2003
南北,窦店,,6,沁馥家园,101101770179,3室2厅,260.0,房山,精装,100.0,2004
南北,长阳,,6,天泰新景,101102629366,3室2厅,310.0,房山,简装,108.0,2005
