index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
532,4,198,2557,8,8,60,76,49,4,477.0
533,4,198,836,8,9,57,71,49,4,350.0
534,4,198,1555,8,17,61,109,49,4,590.0
535,4,167,1803,12,13,62,21,25,4,130.0
536,4,167,1803,12,12,62,20,44,4,128.0
537,4,198,3365,23,3,54,227,49,2,1060.0
538,4,167,1803,12,13,62,23,46,4,125.0
539,4,167,1803,12,13,62,20,44,4,125.0
540,4,198,2603,12,15,60,41,20,4,132.0
541,4,167,1803,12,13,62,22,44,4,130.0
542,4,167,1803,18,13,62,39,25,4,210.0
543,4,167,1803,12,12,62,41,25,3,185.0
544,4,167,1803,12,13,62,22,20,4,118.0
545,4,167,1803,12,13,62,22,46,4,133.0
546,4,167,1803,12,13,62,20,44,4,128.0
547,4,167,1803,12,13,62,21,44,0,138.0
548,4,167,1803,12,12,62,21,58,3,115.0
549,4,198,2603,12,15,60,67,46,4,140.0
550,4,167,1803,12,13,62,28,60,4,148.0
551,4,167,1803,12,13,62,23,60,3,115.0
552,4,198,2603,5,15,60,41,58,3,95.0
553,4,167,3134,8,13,58,66,46,3,335.0
554,4,167,1803,12,13,62,21,46,4,98.0
555,4,198,701,11,10,62,48,58,4,155.0
556,4,167,1803,18,13,62,21,20,4,130.0
