index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
764,7,203,1021,15,5,47,88,22,2,350.0
765,7,203,2156,7,15,49,73,34,3,310.0
766,7,203,2842,22,1,40,137,22,0,1100.0
767,7,205,2263,31,4,52,199,22,3,610.0
768,7,172,496,14,5,43,74,22,2,300.0
769,7,172,618,15,10,42,90,4,2,380.0
770,7,172,2282,14,5,43,82,22,2,320.0
771,7,203,2842,7,5,44,60,13,2,288.0
772,7,172,2489,7,5,37,43,22,3,228.0
773,7,205,1016,7,4,52,63,22,2,278.0
774,7,203,1299,14,10,55,88,22,3,470.0
775,7,172,1558,7,5,34,43,22,3,205.0
776,7,172,618,23,5,44,166,22,2,511.0
777,7,172,2546,14,5,40,110,9,2,300.0
778,7,172,2546,22,5,41,116,22,3,345.0
779,7,172,1400,15,14,51,127,4,2,410.0
780,7,203,547,22,3,49,244,10,3,1100.0
781,7,205,2271,37,5,47,147,22,3,460.0
782,7,172,2491,29,5,37,141,22,2,395.0
783,7,205,2264,15,4,47,102,22,3,418.0
784,7,203,550,7,14,53,63,20,3,295.0
785,7,172,2259,14,8,50,111,22,3,408.0
786,7,172,2975,15,17,56,84,22,3,380.0
787,7,203,2842,7,5,44,62,22,3,299.0
788,7,172,3037,7,5,53,67,22,3,300.0
789,7,172,619,14,5,44,63,22,2,320.0
790,7,205,2271,8,4,47,65,22,3,299.0
791,7,205,2262,15,10,49,106,22,2,418.0
792,7,172,3038,15,5,45,103,22,2,378.0
793,7,205,1016,8,17,52,66,20,3,269.0
794,7,203,311,15,12,51,110,22,2,450.0
795,7,172,2011,14,5,46,81,22,2,350.0
796,7,203,757,14,5,52,94,22,3,525.0
797,7,172,1558,7,5,34,43,22,2,200.0
798,7,205,2347,8,5,49,72,22,2,240.0
799,7,172,1532,14,7,46,111,22,3,329.0
800,7,172,836,7,5,47,89,22,3,300.0
801,7,203,1021,15,5,47,86,22,3,340.0
802,7,172,2548,8,5,41,91,22,2,265.0
803,7,172,2259,8,7,47,87,22,3,325.0
804,7,205,2268,8,15,53,101,22,3,380.0
805,7,203,2842,7,5,45,67,22,2,300.0
806,7,172,2551,7,5,36,45,22,2,240.0
807,7,172,3038,7,5,47,71,22,2,320.0
