,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
271,7.0,172.0,1524.0,5.0,13.0,57.0,16.0,20.0,1.0,110.0,1
272,7.0,203.0,802.0,33.0,7.0,58.0,79.0,4.0,3.0,280.0,1
273,7.0,73.0,229.0,14.0,15.0,56.0,83.0,22.0,0.0,290.0,1
274,7.0,210.0,981.0,7.0,5.0,53.0,68.0,22.0,3.0,205.0,0
275,7.0,172.0,2951.0,15.0,12.0,57.0,106.0,22.0,2.0,500.0,1
276,7.0,73.0,229.0,15.0,15.0,56.0,67.0,22.0,2.0,240.0,1
277,7.0,203.0,2838.0,33.0,2.0,56.0,183.0,22.0,1.0,980.0,1
278,7.0,203.0,2822.0,1.0,5.0,53.0,32.0,20.0,3.0,228.0,0
279,7.0,73.0,229.0,7.0,15.0,57.0,64.0,22.0,3.0,280.0,1
280,7.0,172.0,1524.0,25.0,12.0,57.0,14.0,18.0,3.0,108.0,1
281,7.0,172.0,2975.0,5.0,14.0,56.0,25.0,18.0,3.0,105.0,1
282,7.0,172.0,2632.0,29.0,14.0,45.0,173.0,32.0,3.0,663.0,1
283,7.0,166.0,1826.0,15.0,5.0,46.0,78.0,22.0,3.0,260.0,0
284,7.0,203.0,1021.0,15.0,5.0,47.0,86.0,22.0,2.0,310.0,0
285,7.0,203.0,310.0,15.0,12.0,51.0,111.0,22.0,3.0,420.0,1
286,7.0,203.0,1021.0,7.0,5.0,45.0,68.0,22.0,2.0,260.0,0
287,7.0,203.0,660.0,18.0,10.0,58.0,40.0,30.0,3.0,169.0,1
288,7.0,203.0,2369.0,7.0,8.0,53.0,58.0,22.0,0.0,355.0,1
289,7.0,205.0,1016.0,8.0,19.0,53.0,67.0,22.0,2.0,274.0,1
290,7.0,203.0,2711.0,15.0,6.0,56.0,102.0,22.0,3.0,537.0,1
291,7.0,172.0,2829.0,7.0,5.0,43.0,72.0,22.0,0.0,320.0,0
292,7.0,203.0,2674.0,7.0,5.0,56.0,60.0,22.0,0.0,312.0,0
293,7.0,172.0,1597.0,7.0,15.0,57.0,64.0,20.0,0.0,345.0,1
294,7.0,73.0,231.0,15.0,17.0,57.0,107.0,22.0,3.0,320.0,1
295,7.0,203.0,2971.0,18.0,23.0,56.0,32.0,0.0,2.0,130.0,1
296,7.0,172.0,2975.0,5.0,14.0,56.0,29.0,20.0,3.0,99.0,1
297,7.0,203.0,802.0,11.0,7.0,58.0,23.0,20.0,1.0,115.0,1
298,7.0,203.0,1299.0,14.0,10.0,55.0,90.0,22.0,2.0,490.0,1
299,7.0,166.0,1826.0,14.0,5.0,46.0,78.0,22.0,0.0,190.0,0
300,7.0,210.0,2920.0,15.0,5.0,44.0,95.0,22.0,3.0,200.0,0
301,7.0,203.0,1320.0,14.0,7.0,54.0,69.0,22.0,2.0,419.0,1
302,7.0,166.0,567.0,8.0,14.0,55.0,66.0,22.0,3.0,259.0,1
303,7.0,166.0,1207.0,15.0,5.0,49.0,123.0,22.0,2.0,260.0,0
304,7.0,172.0,1539.0,7.0,5.0,42.0,69.0,22.0,2.0,265.0,0
305,7.0,73.0,231.0,7.0,19.0,57.0,69.0,4.0,0.0,258.0,1
306,7.0,73.0,229.0,7.0,14.0,56.0,67.0,22.0,2.0,260.0,1
307,7.0,73.0,229.0,14.0,11.0,56.0,68.0,22.0,3.0,275.0,1
