Direction,District,Elevator,Floor,Garden,Room,Hall,Price,Region,Renovation,Size,Year
南北,城子,无电梯,6,桥东街小区,2,1,216.0,门头沟,简装,54,1983
南北,门头沟其它,无电梯,6,惠泽家园,2,1,248.0,门头沟,其他,70,2010
南,大峪,无电梯,6,峪园小区,2,1,222.0,门头沟,简装,60,1990
南北,大峪,无电梯,6,新桥路小区,2,1,215.0,门头沟,简装,54,1992
南,城子,无电梯,6,龙泉花园,1,1,195.0,门头沟,简装,48,1996
南北,城子,有电梯,12,阁外山水,3,2,450.0,门头沟,其他,113,2004
南北,门头沟其它,无电梯,6,中门花园良实家园,2,1,310.0,门头沟,简装,89,2003
南北,大峪,无电梯,6,桃园小区,2,1,292.0,门头沟,其他,83,2000
南北,冯村,有电梯,10,润西山苑,4,2,1100.0,门头沟,精装,212,2014
南北,冯村,无电梯,6,冯村信园小区,3,1,341.0,门头沟,精装,92,1997
南,门头沟其它,有电梯,24,梧桐苑知秋园,2,1,380.0,门头沟,简装,83,2013
南北,大峪,无电梯,6,桃园小区,2,1,289.0,门头沟,其他,82,2000
南北,冯村,有电梯,11,冯村嘉园一区,2,1,447.5,门头沟,简装,117,2002
南,大峪,有电梯,20,惠民家园,2,1,245.0,门头沟,精装,62,2012
南北,门头沟其它,无电梯,6,中门寺街67号院,2,1,260.0,门头沟,简装,76,2001
东南北,城子,无电梯,5,向阳楼,2,1,249.0,门头沟,其他,69,1970
南北,冯村,无电梯,6,冯村信园小区,2,1,303.0,门头沟,其他,79,1997
南北,滨河西区,无电梯,7,德露苑,2,1,290.0,门头沟,精装,82,1999
南北,冯村,有电梯,10,润西山苑,3,2,674.0,门头沟,精装,129,2014
东南,滨河西区,无电梯,6,承泽苑,2,1,275.0,门头沟,简装,72,2000
西北,滨河西区,无电梯,6,皓月园,1,1,222.0,门头沟,精装,52,2005
南北,滨河西区,无电梯,6,霁月园,4,2,580.0,门头沟,毛坯,203,2006
南,大峪,无电梯,6,惠民家园,2,1,269.0,门头沟,简装,67,2011
南,大峪,有电梯,24,新桥家园,2,1,360.0,门头沟,简装,92,2003
西北,大峪,无电梯,6,新桥大街甲43号楼,2,1,220.0,门头沟,其他,48,1987
南北,大峪,无电梯,6,峪园小区,2,1,385.0,门头沟,简装,113,1996
南西,城子,有电梯,12,绿岛家园,2,1,367.9,门头沟,精装,89,2011
南,大峪,有电梯,18,大峪南路,2,1,215.0,门头沟,简装,58,1988
南北,滨河西区,无电梯,6,霁月园,3,1,522.0,门头沟,其他,131,2006
东南,滨河西区,有电梯,14,皓月园,1,0,213.0,门头沟,其他,42,2006
南北,大峪,无电梯,6,新桥大街61号院,2,1,325.0,门头沟,精装,87,1995
东西,滨河西区,有电梯,14,皓月园,2,1,300.0,门头沟,简装,72,2006
南北,城子,无电梯,6,绿岛家园,2,1,406.0,门头沟,精装,99,2005
北,大峪,有电梯,24,新桥家园,1,1,330.0,门头沟,简装,84,2003
南北,大峪,无电梯,6,桃园小区,2,1,260.0,门头沟,简装,74,2000
南,门头沟其它,有电梯,27,梧桐苑栖凤园,2,1,410.0,门头沟,精装,85,2013
东西,城子,无电梯,6,剧场东街,2,2,330.0,门头沟,精装,91,1980
南北,滨河西区,无电梯,7,德露苑,3,2,550.0,门头沟,简装,150,1999
南,冯村,有电梯,9,丽景长安,2,1,420.0,门头沟,精装,83,2012
南北,大峪,有电梯,21,金泰丽湾悦栖山,3,2,659.0,门头沟,毛坯,131,2015
东南北,大峪,有电梯,7,西山环路3号院,3,2,750.0,门头沟,其他,140,2015
南,大峪,有电梯,27,门头沟京汉铂寓,2,1,407.0,门头沟,简装,90,2015
东西,冯村,有电梯,10,润西山苑,2,1,479.0,门头沟,精装,95,2012
南,大峪,有电梯,27,门头沟京汉铂寓,2,1,388.0,门头沟,精装,87,2015
南北,大峪,有电梯,21,金泰丽湾悦栖山,3,1,560.0,门头沟,毛坯,130,2015
西南,滨河西区,无电梯,6,葡东小区,2,1,340.0,门头沟,简装,93,2002
南北,门头沟其它,无电梯,5,东方小区,2,1,115.0,门头沟,其他,57,1986
南北,大峪,无电梯,6,新桥路小区,2,1,252.0,门头沟,简装,61,1993
南北,门头沟其它,无电梯,6,惠泽家园,1,1,225.0,门头沟,精装,65,2010
西,大峪,有电梯,24,新桥家园,1,1,330.0,门头沟,精装,84,2003
南北,城子,无电梯,6,绿岛家园,1,1,290.0,门头沟,其他,66,2006
南北,大峪,无电梯,6,黑山东街,2,1,308.0,门头沟,精装,69,2000
西,城子,无电梯,7,龙泉花园,1,1,210.0,门头沟,简装,61,1996
南北,城子,无电梯,6,新桥大街56号院,2,0,300.0,门头沟,简装,76,1999
北,滨河西区,有电梯,14,皓月园,1,0,208.0,门头沟,简装,46,2006
南北,滨河西区,无电梯,6,倚山嘉园,3,2,480.0,门头沟,简装,158,2008
东,滨河西区,有电梯,13,倚山嘉园,1,1,308.0,门头沟,简装,80,2005
东南北,大峪,有电梯,18,大峪南路,3,1,277.0,门头沟,精装,69,1980
东南北,滨河西区,无电梯,5,承泽苑,3,2,539.0,门头沟,精装,132,2000
南北,城子,无电梯,6,和平路33号院,2,1,283.0,门头沟,简装,81,1986
西,大峪,无电梯,6,惠民家园,2,1,255.0,门头沟,精装,59,2010
南北,城子,无电梯,6,绿岛家园,4,2,625.0,门头沟,精装,160,2006
南,滨河西区,无电梯,6,门头沟月季园,2,1,229.0,门头沟,精装,58,1992
南北,冯村,有电梯,10,润西山苑,2,1,580.0,门头沟,精装,111,2014
南北,城子,无电梯,7,阁外山水,2,1,285.0,门头沟,精装,68,2004
南北,门头沟其它,无电梯,6,门矿西山楼,2,1,176.0,门头沟,简装,69,1992
南,门头沟其它,有电梯,21,梧桐苑知秋园,3,1,408.0,门头沟,精装,88,2013
南北,冯村,无电梯,6,冯村嘉园二区,3,1,434.0,门头沟,简装,103,2002
南北,城子,无电梯,6,绿岛家园,4,2,550.0,门头沟,精装,144,2006
