,District,Floor,Garden,Price,Size,Year,东城,丰台,亦庄开发区,大兴,密云,平谷,怀柔,房山,昌平,朝阳,海淀,石景山,西城,通州,门头沟,顺义,其他,南北,毛坯,简装,精装,东,南,西,北,Room,Hall,ElevatorNum
117,鼓楼大街,6,新悦家园,5.303304908059076,3.6635616461296463,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0
118,沙河,6,善缘嘉园,4.9344739331306915,3.1354942159291497,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
119,北七家,6,温泉花园B区,5.53338948872752,4.04305126783455,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0
120,鼓楼大街,6,石坊院,5.5053315359323625,4.007333185232471,1989,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0
121,天通苑,21,天通公园里,5.69035945432406,3.8918202981106265,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0
122,西关环岛,15,蓝郡国际花园,5.442417710521793,3.9889840465642745,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
123,东关,6,京科苑,5.916202062607435,4.77912349311153,1998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
124,回龙观,11,流星花园三区,5.707110264748875,3.871201010907891,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
125,西关环岛,6,水屯家园,5.755742213586912,4.795790545596741,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
126,北七家,7,名流花园,5.8888779583328805,4.5217885770490405,1996,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,2.0,0.0
